weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,rain.1h,main.sea_level,main.grnd_level,message
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627737572.0,28800.0,2071860.0,Esperance,200,121.9,-33.8667,283.59,282.33,283.59,283.59,1011.0,63.0,8.45,312.0,14.15,7.0,,,AU,1627685142.0,1627722704.0,,1011.0,1011.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737572.0,10800.0,487928.0,Novikovo,200,37.8879,51.1537,303.62,302.62,303.62,303.62,1010.0,33.0,2.75,303.0,3.31,9.0,,,RU,1627696319.0,1627751852.0,,1010.0,996.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737572.0,-18000.0,4013679.0,Coahuayana Viejo,200,-103.6833,18.7333,299.86,303.07,299.86,299.86,1013.0,90.0,1.67,63.0,1.64,100.0,1.0,7116.0,MX,1627734707.0,1627781416.0,,1013.0,1011.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627737572.0,28800.0,1789647.0,Xichang,200,102.2634,27.8964,292.56,292.62,292.56,292.56,1007.0,79.0,1.91,108.0,1.99,6.0,,,CN,1627684376.0,1627732895.0,,1007.0,843.0,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627737572.0,-21600.0,6050066.0,La Ronge,200,-105.2842,55.1001,289.29,288.97,289.27,289.29,1026.0,77.0,1.54,310.0,,40.0,1.0,696.0,CA,1627729703.0,1627787188.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737572.0,-25200.0,5710360.0,Winnemucca,200,-117.7357,40.973,292.18,292.28,292.1,292.18,1022.0,82.0,2.06,90.0,,90.0,1.0,6249.0,US,1627735577.0,1627787290.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737573.0,-7200.0,3424607.0,Tasiilaq,200,-37.6368,65.6145,286.24,285.59,286.24,286.24,1015.0,76.0,0.68,288.0,1.1,100.0,1.0,81.0,GL,1627708702.0,1627775720.0,,1015.0,1010.0,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627737573.0,-21600.0,5601615.0,Mountain Home,200,-115.6912,43.133,295.01,295.03,293.27,298.56,1019.0,68.0,2.57,150.0,,20.0,1.0,5002.0,US,1627734751.0,1627787135.0,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627737573.0,7200.0,3129135.0,Avilés,200,-5.9248,43.5547,292.93,292.53,292.55,293.11,1020.0,60.0,3.58,0.0,4.92,40.0,2.0,2001020.0,ES,1627708319.0,1627760881.0,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627737351.0,7200.0,2729907.0,Longyearbyen,200,15.6401,78.2186,280.06,276.81,280.06,280.06,1009.0,76.0,5.14,100.0,,75.0,1.0,1663.0,SJ,0.0,0.0,,,,
"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",stations,10000.0,1627737573.0,-18000.0,4449620.0,Vicksburg,200,-90.8779,32.3526,300.75,305.95,298.28,301.97,1017.0,92.0,0.0,0.0,,1.0,1.0,6181.0,US,1627730257.0,1627779719.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,8906.0,1627737574.0,10800.0,105298.0,Jizan,200,42.6667,17.3333,307.67,312.71,307.67,307.67,1006.0,50.0,3.47,286.0,3.92,100.0,1.0,7407.0,SA,1627699700.0,1627746177.0,,1006.0,997.0,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627737574.0,14400.0,934322.0,Mahébourg,200,57.7,-20.4081,296.31,296.35,296.07,296.31,1025.0,64.0,4.63,120.0,,40.0,1.0,2061.0,MU,1627699197.0,1627739464.0,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,4282.0,1627737574.0,32400.0,2015306.0,Tiksi,200,128.8694,71.6872,279.04,279.04,279.04,279.04,1020.0,79.0,0.87,47.0,0.89,19.0,,,RU,0.0,0.0,,1020.0,1015.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737574.0,0.0,2367164.0,Dapaong,200,0.205,10.8639,296.71,297.39,296.71,296.71,1014.0,87.0,5.48,204.0,8.5,100.0,,,TG,1627710446.0,1627755812.0,,1014.0,976.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737574.0,7200.0,352733.0,Marsá Maţrūḩ,200,27.2453,31.3525,304.3,307.81,304.3,304.3,1005.0,58.0,7.84,323.0,9.65,0.0,,,EG,1627702009.0,1627751269.0,,1005.0,1005.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737574.0,-21600.0,5710035.0,West Wendover,200,-114.0733,40.7391,294.71,294.7,294.71,294.71,1022.0,68.0,2.06,50.0,,1.0,1.0,3994.0,US,1627734732.0,1627786377.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737575.0,10800.0,556268.0,Ostrovnoy,200,39.5131,68.0531,282.67,280.26,282.67,282.67,997.0,90.0,4.7,76.0,6.48,100.0,,,RU,1627687891.0,1627759499.0,,997.0,995.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737575.0,3600.0,2641434.0,Northam,200,-4.2167,51.0333,290.13,290.29,289.05,293.38,1011.0,92.0,5.38,276.0,6.6,85.0,2.0,2005965.0,GB,1627706462.0,1627761918.0,,1011.0,1004.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737575.0,10800.0,1082243.0,Ambilobe,200,49.05,-13.2,302.02,301.46,302.02,302.02,1017.0,38.0,0.15,273.0,3.74,2.0,,,MG,1627700655.0,1627742158.0,,1017.0,1013.0,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737575.0,10800.0,1058381.0,Morondava,200,44.2833,-20.2833,300.91,301.17,300.91,300.91,1019.0,48.0,6.54,235.0,8.87,0.0,,,MG,1627702405.0,1627742696.0,,1019.0,1019.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737575.0,0.0,2412408.0,Nioro,200,-15.75,13.35,300.97,304.25,300.97,300.97,1014.0,76.0,3.48,329.0,3.84,100.0,,,GM,1627714067.0,1627759849.0,,1014.0,1010.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737575.0,-28800.0,5861897.0,Fairbanks,200,-147.7164,64.8378,285.48,284.99,282.34,287.49,1014.0,85.0,2.57,90.0,,1.0,2.0,2017395.0,US,1627735732.0,1627801526.0,,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627737576.0,34200.0,6355222.0,Yulara,200,130.9889,-25.2406,294.06,293.17,294.06,294.06,1014.0,37.0,5.14,240.0,,75.0,1.0,9487.0,AU,1627682060.0,1627721423.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737576.0,-10800.0,3435264.0,Concepción del Uruguay,200,-58.2372,-32.4825,283.27,282.11,282.49,283.7,1031.0,68.0,0.89,45.0,2.68,0.0,2.0,2019376.0,AR,1627728196.0,1627766113.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627737576.0,36000.0,2090021.0,Namatanai,200,152.4333,-3.6667,299.44,299.44,299.44,299.44,1012.0,81.0,2.56,136.0,3.1,4.0,,,PG,1627675076.0,1627718114.0,,1012.0,1006.0,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627737576.0,10800.0,107304.0,Buraidah,200,43.975,26.326,315.4,311.44,315.4,315.4,999.0,6.0,1.17,312.0,3.21,70.0,1.0,7411.0,SA,1627698534.0,1627746715.0,,999.0,935.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737577.0,7200.0,2995468.0,Arrondissement de Marseille,200,5.5,43.3333,301.26,301.13,299.04,304.21,1006.0,43.0,4.47,236.0,6.71,0.0,2.0,80238.0,FR,1627705612.0,1627758105.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737577.0,18000.0,1489853.0,Tazovsky,200,78.7,67.4667,287.27,286.54,287.27,287.27,1005.0,69.0,4.24,167.0,6.7,100.0,,,RU,1627679090.0,1627749491.0,,1005.0,1001.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737577.0,-10800.0,3467452.0,Canoinhas,200,-50.39,-26.1772,281.03,280.37,281.03,281.03,1032.0,62.0,1.51,94.0,3.89,100.0,,,BR,1627725664.0,1627764878.0,,1032.0,940.0,
"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",stations,9000.0,1627737306.0,28800.0,1735106.0,George Town,200,100.3354,5.4112,301.41,306.08,300.9,301.42,1012.0,81.0,1.54,60.0,,20.0,2.0,2037578.0,MY,1627686857.0,1627731340.0,5.62,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1170.0,1627737577.0,-14400.0,5924351.0,Clyde River,200,-68.5914,70.4692,276.95,276.95,276.95,276.95,1014.0,87.0,1.08,19.0,1.29,100.0,,,CA,1627709774.0,1627789505.0,,1014.0,1014.0,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627737555.0,3600.0,2648404.0,Gloucester,200,-2.2431,51.8657,292.91,292.77,290.57,295.42,1009.0,70.0,3.6,260.0,,40.0,1.0,1363.0,GB,1627705793.0,1627761640.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627737577.0,28800.0,2027196.0,Balakhninskiy,200,114.2769,58.0106,289.62,288.68,289.62,289.62,1014.0,52.0,4.28,70.0,11.67,90.0,,,RU,1627676011.0,1627735494.0,,1014.0,969.0,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627737578.0,-18000.0,3671497.0,Puerto Colombia,200,-74.9547,10.9878,302.2,307.81,302.2,302.2,1011.0,79.0,2.68,99.0,3.53,17.0,1.0,8584.0,CO,1627728476.0,1627773857.0,,1011.0,1010.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,6000.0,1627737578.0,14400.0,286621.0,Salalah,200,54.0924,17.0151,299.2,299.2,299.2,299.2,1005.0,89.0,5.14,180.0,,90.0,1.0,7562.0,OM,1627696985.0,1627743407.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737578.0,7200.0,359796.0,Suez,200,32.5263,29.9737,311.96,310.18,311.96,311.96,1002.0,17.0,2.29,34.0,3.19,0.0,,,EG,1627700896.0,1627749848.0,,1002.0,1001.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737578.0,-14400.0,5962442.0,Goderich,200,-81.7165,43.7501,288.36,287.95,287.06,289.21,1018.0,77.0,3.6,140.0,,9.0,1.0,253.0,CA,1627726491.0,1627779088.0,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627737578.0,-14400.0,3662342.0,São Gabriel da Cachoeira,200,-67.0892,-0.1303,296.04,296.68,296.04,296.04,1018.0,88.0,2.57,280.0,,75.0,1.0,8449.0,BR,1627727480.0,1627771078.0,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627737578.0,18000.0,1513491.0,Yangi Marg`ilon,200,71.7189,40.4272,307.55,305.2,305.83,307.55,1004.0,16.0,3.09,340.0,,14.0,1.0,9014.0,UZ,1627690159.0,1627741773.0,,,,
